condition,description
panic disorder,"Panic disorder is a mental and behavioral disorder, specifically an anxiety disorder characterized by reoccurring unexpected panic attacks. Panic attacks are sudden periods of intense fear that may include palpitations, sweating, shaking, shortness of breath, numbness, or a feeling that something terrible is going to happen. The maximum degree of symptoms occurs within minutes. There may be ongoing worries about having further attacks and avoidance of places where attacks have occurred in the past."
vocal cord polyp,"Vocal cord nodules are bilaterally symmetrical benign white masses (nodules) that form at the midpoint of the vocal folds. Although diagnosis involves a physical examination of the head and neck, as well as perceptual voice measures, visualization of the vocal nodules via laryngeal endoscopy remains the primary diagnostic method."
turner syndrome,"Turner syndrome (TS), commonly known as 45,X, or 45,X0, is a chromosomal disorder in which female cells have only one X chromosome instead of two, or are partially missing an X chromosome leading to the complete or partial deletion of the pseudoautosomal regions in the affected X chromosome. Typically, people have two sex chromosomes. The chromosomal abnormality is often present in just some cells, in which case it is known as Turner syndrome with mosaicism. 45,X0 with mosaicism can occur in males or females, but Turner syndrome without mosaicism only occurs in females. Signs and symptoms vary among those affected but often include additional skin folds on the neck, arched palate, low-set ears, low hairline at the nape of the neck, short stature, and lymphedema of the hands and feet. Those affected do not normally develop menstrual periods or mammary glands without hormone treatment and are unable to reproduce without assistive reproductive technology. Small chin (micrognathia), loose folds of skin on the neck, slanted eyelids and prominent ears are found in Turner syndrome, though not all will show it. Heart defects, Type II diabetes, and hypothyroidism occur in the disorder more frequently than average. Most people with Turner syndrome have normal intelligence; however, many have problems with spatial visualization that can hinder learning mathematics. Ptosis and conductive hearing loss also occur more often than average."
cryptorchidism,"Cryptorchidism, also known as undescended testis, is the failure of one or both testes to descend into the scrotum. The word is from Ancient Greek  κρυπτός (kryptos) 'hidden' and  ὄρχις (orchis) 'testicle'. It is the most common birth defect of the male genital tract. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis.
However, about 80% of cryptorchid testes descend by the first year of life, making the true incidence of cryptorchidism around 1% overall. Cryptorchidism may develop after infancy, sometimes as late as young adulthood, but that is exceptional."
poisoning due to ethylene glycol,"Ethylene glycol poisoning is poisoning caused by drinking ethylene glycol. Early symptoms include intoxication, vomiting and abdominal pain. Later symptoms may include a decreased level of consciousness, headache, and seizures. Long term outcomes may include kidney failure and brain damage. Toxicity and death may occur after drinking even in a small amount as ethylene glycol is more toxic than other diols."
atrophic vaginitis,"Atrophic vaginitis is inflammation of the vagina as a result of tissue thinning due to low estrogen levels. Symptoms may include pain during penetrative sex, vaginal itchiness or dryness, and an urge to urinate or burning with urination. It generally does not resolve without ongoing treatment. Complications may include urinary tract infections. Atrophic vaginitis as well as vulvovaginal atrophy, bladder and urethral dysfunctions are a group of conditions that constitute genitourinary syndrome of menopause (GSM). Diagnosis is typically based on symptoms."
fracture of the hand,"A hand is a prehensile, multi-fingered appendage located at the end of the forearm or forelimb of primates such as humans, chimpanzees, monkeys, and lemurs. A few other vertebrates such as the koala are often described as having ""hands"" instead of paws on their front limbs. The raccoon is usually described as having ""hands"" though opposable thumbs are lacking."
cellulitis or abscess of mouth,"Cellulitis is usually a bacterial infection involving the inner layers of the skin. It specifically affects the dermis and subcutaneous fat. Signs and symptoms include an area of redness which increases in size over a few days. The borders of the area of redness are generally not sharp and the skin may be swollen. While the redness often turns white when pressure is applied, this is not always the case. The area of infection is usually painful. Lymphatic vessels may occasionally be involved, and the person may have a fever and feel tired."
eye alignment disorder,Lazy eye refers to several specific ophthalmic disorders:
headache after lumbar puncture,"Post-dural-puncture headache (PDPH) is a complication of puncture of the dura mater. The headache is severe and described as ""searing and spreading like hot metal"", involving the back and front of the head and spreading to the neck and shoulders, sometimes involving neck stiffness. It is exacerbated by movement and sitting or standing and is relieved to some degree by lying down. Nausea, vomiting, pain in arms and legs, hearing loss, tinnitus, vertigo, dizziness and paraesthesia of the scalp are also common."
pyloric stenosis,Pyloric stenosis is a narrowing of the opening from the stomach to the first part of the small intestine. Symptoms include projectile vomiting without the presence of bile. This most often occurs after the baby is fed. The typical age that symptoms become obvious is two to twelve weeks old.
salivary gland disorder,"Salivary gland diseases (SGDs) are multiple and varied in cause. There are three paired major salivary glands in humans: the parotid glands, the submandibular glands, and the sublingual glands. There are also about 800–1,000 minor salivary glands in the mucosa of the mouth. The parotid glands are in front of the ears, one on side, and secrete mostly serous saliva, via the parotid ducts, into the mouth, usually opening roughly opposite the second upper molars. The submandibular gland is medial to the angle of the mandible, and it drains its mixture of serous and mucous saliva via the submandibular duct into the mouth, usually opening in a punctum in the floor of mouth. The sublingual gland is below the tongue, on the floor of the mouth; it drains its mostly mucous saliva into the mouth via about 8–20 ducts, which open along the plica sublingualis, a fold of tissue under the tongue."
osteochondrosis,"Osteochondrosis is a family of orthopedic diseases of the joint that occur in children, adolescents and rapidly growing animals, particularly pigs, horses, dogs, and broiler chickens. They are characterized by interruption of the blood supply of a bone, in particular to the epiphysis, followed by localized bony necrosis, and later, regrowth of the bone. This disorder is defined as a focal disturbance of endochondral ossification and is regarded as having a multifactorial cause, so no one thing accounts for all aspects of this disease."
